# index, id, name, city, country, IATA/FAA, ICAO, latitude, longitude, altitude, timezone, DST, _pos
100,162,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,3085,-8.0,A,"array([6.17652814, 1.15733521])"
101,164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066,3082,-7.0,A,"array([6.16638424, 1.14151001])"
102,166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.170799255371094,-106.69999694824219,1653,-6.0,N,"array([6.1169707 , 1.08670895])"
103,167,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.01890182495117,-110.72100067138672,2352,-7.0,A,"array([6.1952499 , 1.03525352])"
104,168,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814453125,-120.73999786376953,2280,-7.0,A,"array([6.18247081, 1.11300921])"
105,169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.11389923095703,-91.9052963256836,1258,-6.0,A,"array([6.1835444 , 0.76579622])"
106,170,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999,75,-5.0,A,"array([6.22054852, 0.8356717 ])"
107,172,Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,2267,-8.0,A,"array([6.17752407, 1.1244718 ])"
108,173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,713,-8.0,A,"array([6.17747446, 1.14702338])"
109,174,London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539,912,-5.0,A,"array([6.12456299, 1.0710606 ])"
110,175,Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.025299072265625,-122.36100006103516,195,-8.0,A,"array([6.193396  , 1.07519082])"
111,176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,2317,-8.0,A,"array([6.17604823, 1.07894155])"
112,177,North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,46.363602,-79.422798,1215,-5.0,A,"array([6.05878463, 0.98470362])"
113,178,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231,-114.019996643,3557,-7.0,A,"array([6.09549949, 1.11215256])"
114,179,Smithers Airport,Smithers,Canada,YYD,CYYD,54.82469940185547,-127.18299865722656,1712,-8.0,A,"array([6.18807602, 1.14232275])"
115,180,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,1253,-8.0,A,"array([6.26713138, 1.09776354])"
116,181,Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043334961,-119.60199737548828,1129,-8.0,A,"array([6.2346457, 1.1166589])"
117,182,Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290000915527344,-63.12110137939453,160,-4.0,A,"array([6.00793106, 1.04325327])"
118,183,Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.5766983032,92,-7.0,A,"array([6.2504507 , 0.90768568])"
119,184,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,63,-8.0,A,"array([6.1146959 , 1.12389846])"
120,187,Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.739200592041016,-94.06500244140625,94,-6.0,A,"array([6.17743218, 0.9265775 ])"
121,188,Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.4258003235,160,-4.0,A,"array([6.05126136, 0.90636116])"
122,189,St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938,-52.7518997192,461,-3.5,A,"array([6.04010322, 1.02715583])"
123,190,Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389846801758,-82.46749877929688,743,-5.0,A,"array([6.13802932, 0.86004147])"
124,192,Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.60860061645508,-68.20809936523438,172,-5.0,A,"array([6.0402826 , 0.96203604])"
125,193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999,569,-5.0,A,"array([6.03665337, 1.11204627])"
126,196,Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.462799072265625,-114.44000244140625,675,-7.0,A,"array([6.19731787, 0.97550057])"
127,198,Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.25429916379999,-131.813995361,21,-8.0,A,"array([6.2296204 , 1.13667447])"
128,199,Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.9994010925293,-82.30889892578125,594,-5.0,A,"array([6.00290323, 0.99749202])"
129,200,Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.680599212646484,-127.36699676513672,71,-8.0,A,"array([6.25264893, 1.12900993])"
130,202,Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.22330093383789,-66.2656021118164,180,-5.0,A,"array([6.04342461, 0.94299721])"
