# source, target, distance, airline, airline_code, codeshare, equipment, stops
8,1989,209.03475339143083,GL,921,0,DH8,0
8,2266,131.41226453627513,GL,921,0,DH7 DH8,0
8,2262,204.0577396243964,GL,921,0,DH7,0
8,6,699.1712906026588,GL,921,0,DH8,0
9,2265,107.86059052944474,GL,921,0,BH2,0
10,14,249.48314753383204,NY,896,0,F50 DH8,0
11,14,380.2791812218355,NY,896,0,F50 DH8,0
12,14,221.63341618555393,NY,896,0,DH8,0
13,218,2445.109872192848,AY,2350,1,75W,0
13,308,1489.9230825509585,DY,3737,0,73H,0
13,315,1783.3620382513495,DY,3737,0,733,0
13,282,2038.3013271082248,FI,2835,0,75W 75T,0
13,368,2143.181019700646,FI,2835,0,75W,0
13,308,1489.9230825509585,FI,2835,0,75W,0
13,294,1967.9982848077648,FI,2835,0,75W,0
13,1699,3875.456503451712,FI,2835,0,75W,0
13,184,2148.7882975414504,FI,2835,0,75W,0
13,628,2241.7808811870736,FI,2835,0,75W,0
13,295,2144.594364541496,FI,2835,0,75T 75W,0
13,1853,5728.782207098829,FI,2835,0,75W,0
13,1721,4178.216536345445,FI,2835,0,75W,0
13,191,2401.9636339783474,FI,2835,0,75W,0
13,270,1347.8797912794994,FI,2835,0,75W,0
13,218,2445.109872192848,FI,2835,0,75W,0
13,1829,4496.288208693866,FI,2835,0,75W,0
13,1870,4164.5529171751605,FI,2835,0,75T,0
13,253,1935.8775899632005,FI,2835,0,75W,0
13,255,1895.589333777035,FI,2835,0,75W,0
13,242,1653.6078716088005,FI,2835,0,75W,0
13,196,2692.5991809444126,FI,2835,0,75W,0
13,315,1783.3620382513495,FI,2835,0,75W 75T,0
13,1754,5813.16429779253,FI,2835,0,75W,0
13,2115,5644.576067515047,FI,2835,0,75W,0
13,31,4923.093141629556,FI,2835,0,75W,0
13,125,4171.921728076217,FI,2835,0,75W,0
13,758,2631.535516481017,FI,2835,0,75W,0
13,7,1400.9947750390368,GL,921,0,DH8,0
13,315,1783.3620382513495,SK,4319,0,738 73W,0
13,245,1818.0564588202049,U2,2297,0,320 319,0
13,640,2576.911504476619,U2,2297,0,320,0
13,271,1385.0641814785688,U2,2297,0,319,0
13,247,1862.3435028136128,U2,2297,0,319,0
13,242,1653.6078716088005,U2,2297,0,320 319,0
13,566,3209.0740396051597,W2,18553,1,320,0
13,628,2241.7808811870736,W2,18553,1,320,0
13,295,2144.594364541496,W2,18553,1,320,0
13,253,1935.8775899632005,W2,18553,1,320,0
13,188,2431.893511995367,W2,18553,1,320,0
13,566,3209.0740396051597,WW,1441,0,320,0
13,628,2241.7808811870736,WW,1441,0,320,0
13,295,2144.594364541496,WW,1441,0,320,0
13,253,1935.8775899632005,WW,1441,0,320,0
13,188,2431.893511995367,WW,1441,0,320,0
14,10,249.48314753383204,NY,896,0,F50 DH8,0
14,11,380.2791812218355,NY,896,0,F50 DH8,0
14,7,1428.5448874520482,NY,896,0,DH8,0
14,12,221.63341618555393,NY,896,0,DH8,0
15,125,494.169183522638,AC,330,1,DH1,0
15,73,418.5710487512047,JV,1434,0,SWM,0
15,80,284.2096881371712,JV,1434,0,SWM,0
15,87,512.102596498179,PD,4021,0,DH4,0
16,2288,76.67160546209617,PB,"\N",0,SFB,0
16,121,364.57783144200044,PB,"\N",0,DH1,0
16,122,483.66248323876073,PB,"\N",0,SFB DH1,0
17,89,583.0585966629247,AC,330,1,DH1,0
17,124,58.27383593884058,AC,330,1,DH1,0
17,65,352.4133140044249,P6,"\N",0,J32,0
17,99,431.77239466485986,P6,"\N",0,J32,0
17,65,352.4133140044249,Q9,11838,0,BEH,0
17,124,58.27383593884058,Q9,11838,0,BEH,0
18,89,380.33807510249534,AC,330,1,DH1,0
18,46,362.883679082657,P6,"\N",0,J32,0
18,65,173.80982401549042,P6,"\N",0,AT4,0
18,130,402.59393165184525,P6,"\N",0,J32,0
19,2289,282.81041867040716,5T,1623,1,ATR,0
19,2326,287.5838137246497,5T,1623,1,ATR,0
19,79,256.6141251596326,7F,2354,0,AT4,0
19,90,517.9487169464727,7F,2354,0,AT4,0
19,2289,282.81041867040716,MO,502,0,AT4,0
19,79,256.6141251596326,MO,502,0,AT4,0
20,71,38.363068559145724,8P,3856,0,SF3 BE1,0
20,97,172.47179067267368,8P,3856,0,BE1,0
20,3044,311.7470713887738,8P,3856,0,BE1,0
20,71,38.363068559145724,9M,"\N",0,BEH,0
20,97,172.47179067267368,9M,"\N",0,BEH,0
20,71,38.363068559145724,AC,330,1,BEH,0
21,113,1002.4715657725311,WS,5416,0,DH4,0
22,26,432.5076404941919,5T,1623,0,DH8 73M,0
22,118,455.898855057262,5T,1623,0,DH8,0
22,126,850.2457323749697,5T,1623,0,DH8 73M,0
22,26,432.5076404941919,7F,2354,0,AT7,0
22,44,375.71619221677435,7F,2354,0,AT7,0
22,126,850.2457323749697,7F,2354,0,AT7 73M,0
23,97,52.26137342135558,AC,330,1,DH3,0
23,113,738.6872623572383,WS,5416,0,DH4,0
24,97,403.2200899876414,AC,330,1,DH3,0
24,113,327.03167442280517,AC,330,1,DH3,0
25,48,407.91564051133327,PB,"\N",0,SFB,0
25,99,549.7839715666684,PB,"\N",0,SFB,0
26,22,432.5076404941919,5T,1623,0,DH8 73M,0
26,126,596.4132519071536,5T,1623,0,DH8 73M,0
26,22,432.5076404941919,7F,2354,0,AT7,0
26,43,343.93746608459713,7F,2354,0,AT7,0
26,126,596.4132519071536,7F,2354,0,AT7,0
27,34,748.5449725288137,5T,1623,0,DH8,0
27,49,411.56214052837197,5T,1623,0,DH8,0
27,34,748.5449725288137,7F,2354,0,AT4,0
27,49,411.56214052837197,7F,2354,0,AT4,0
28,79,460.48354729503984,5T,1623,1,ATR,0
28,90,290.991971628744,5T,1623,1,AT4,0
28,2289,374.18975818164597,7F,2354,0,AT4,0
28,84,330.50256580108277,7F,2354,0,AT4,0
28,79,460.48354729503984,MO,502,0,AT4,0
28,90,290.991971628744,MO,502,0,AT4,0
29,48,668.1039104167023,AC,330,1,CRJ DH1,0
29,121,503.3033063394714,AC,330,1,BEH,0
29,122,385.50317986856703,AC,330,1,BEH,0
29,125,1804.220513284236,AC,330,0,E90,0
29,121,503.3033063394714,PB,"\N",0,DH1 SFB,0
29,122,385.50317986856703,PB,"\N",0,SFB DH1,0
29,125,1804.220513284236,WS,5416,0,73W,0
30,97,756.0458908232491,9M,"\N",0,DH1,0
30,115,373.4346671781121,9M,"\N",0,DH1,0
31,111,1529.0418703989262,4N,341,0,737,0
31,126,1019.3435584408224,5T,1623,0,73M 733,0
31,126,1019.3435584408224,7F,2354,0,73M 737,0
31,59,631.3446639378807,9M,"\N",0,BEH,0
31,3043,680.8175960493954,9M,"\N",0,BEH,0
31,104,562.6831074871337,9M,"\N",0,D38 DH3,0
31,113,246.07131525808916,9M,"\N",0,BEH D38 DH3,0
31,1800,2623.8014919275834,AA,24,0,319,0
31,1914,1920.3518132639304,AA,24,0,737,0
31,1715,2187.7580666959916,AA,24,0,737,0
31,1708,2214.2347050905996,AA,24,0,320 319 737,0
31,1853,1640.5197236583724,AC,330,1,CR7 CRJ 319 E70,0
31,1721,3249.030042506669,AC,330,1,319,0
31,1744,2985.3916727271862,AC,330,1,738 320 737 319,0
31,255,6811.517814645365,AC,330,0,763,0
31,1885,2280.5640191833927,AC,330,1,E70 CR7,0
31,1712,1871.9350778812156,AC,330,1,CR7,0
31,56,401.1486358743191,AC,330,1,DH4,0
31,60,2850.265715546771,AC,330,0,E90,0
31,72,690.1515251806452,AC,330,1,DH3,0
31,74,402.51698141846384,AC,330,1,DH3,0
31,89,2969.6978708465476,AC,330,0,320,0
31,97,809.2620049355725,AC,330,0,E90 320 319,0
31,98,1187.2155918127573,AC,330,1,CRJ,0
31,102,480.102766122166,AC,330,1,DH3,0
31,113,246.07131525808916,AC,330,1,DH4 CRJ DH3,0
31,125,2689.9497785701246,AC,330,0,320 319 E90,0
31,126,1019.3435584408224,AC,330,1,CRJ,0
31,1754,897.8168236813439,AS,439,1,DH4,0
31,1715,2187.7580666959916,DL,2009,1,73H,0
31,1901,1744.7715142126724,DL,2009,1,E75,0
31,13,4923.093141629556,FI,2835,0,75W,0
31,47,847.9605443169586,J3,3734,0,J31,0
31,56,401.1486358743191,J3,3734,0,J31,0
31,82,752.8833843022795,J3,3734,0,J31,0
31,97,809.2620049355725,JL,2987,1,73W,0
31,126,1019.3435584408224,JL,2987,1,73W,0
31,56,401.1486358743191,KL,3090,1,73W,0
31,98,1187.2155918127573,KL,3090,1,737,0
31,255,6811.517814645365,LH,3320,1,763,0
31,1853,1640.5197236583724,UA,5209,0,319,0
31,1721,3249.030042506669,UA,5209,0,319,0
31,1744,2985.3916727271862,UA,5209,0,738 320 73G 319,0
31,1885,2280.5640191833927,UA,5209,1,E70 CR7,0
31,1712,1871.9350778812156,UA,5209,1,CR7,0
31,1708,2214.2347050905996,US,5265,0,320 319,0
31,853,4247.137222873048,WS,5416,0,73W,0
31,1914,1920.3518132639304,WS,5416,0,73W 73H,0
31,1715,2187.7580666959916,WS,5416,0,73H,0
31,1708,2214.2347050905996,WS,5416,0,73W 73H,0
31,1888,2179.0977722581983,WS,5416,0,73W,0
31,841,3698.437132455242,WS,5416,0,73W,0
31,45,2702.9330963259786,WS,5416,0,73W,0
31,55,546.8371272249303,WS,5416,0,73W,0
31,56,401.1486358743191,WS,5416,0,73W DH4,0
31,60,2850.265715546771,WS,5416,0,73W,0
31,71,877.8148110855543,WS,5416,0,73W,0
31,72,690.1515251806452,WS,5416,0,DH4,0
31,74,402.51698141846384,WS,5416,0,DH4,0
31,89,2969.6978708465476,WS,5416,0,736,0
31,97,809.2620049355725,WS,5416,0,73H 73W 736,0
31,98,1187.2155918127573,WS,5416,0,73W,0
31,102,480.102766122166,WS,5416,0,DH4,0
31,110,775.085590237759,WS,5416,0,73W,0
31,113,246.07131525808916,WS,5416,0,73W DH4,0
31,119,861.5569497730721,WS,5416,0,736 73W,0
31,125,2689.9497785701246,WS,5416,0,73H 73W,0
31,126,1019.3435584408224,WS,5416,0,73W 736,0
32,2326,149.27882116339404,5T,1623,1,ATR AT4,0
32,120,261.9464055566693,5T,1623,1,ATR AT4,0
32,79,216.6266487492386,7F,2354,0,AT4,0
32,2326,149.27882116339404,7F,2354,0,AT4,0
32,79,216.6266487492386,MO,502,0,AT4,0
32,2326,149.27882116339404,MO,502,0,AT4,0
32,120,261.9464055566693,MO,502,0,AT4,0
33,96,445.4882716959691,5T,1623,0,73M 733,0
33,43,665.7554985153986,6L,"\N",0,DHT,0
33,2148,395.2465639440364,6L,"\N",0,DHT,0
33,83,514.1460493588032,6L,"\N",0,DHT,0
33,88,126.91827762445648,6L,"\N",0,DHT,0
33,131,115.25821411346395,6L,"\N",0,DHT,0
33,96,445.4882716959691,7F,2354,0,73M,0
33,2146,309.33357879678516,HW,2748,0,DHT,0
34,27,748.5449725288137,5T,1623,0,DH8,0
34,2295,852.8862678785797,5T,1623,0,BE1 DH8,0
34,60,2098.0956097495405,5T,1623,0,73M,0
34,79,1176.0335643441924,5T,1623,0,73M,0
34,84,392.0423134337404,5T,1623,0,BE1 DH8,0
34,91,793.6142624552447,5T,1623,0,BE1 DH8,0
34,106,297.4265459415497,5T,1623,0,DH8,0
34,3120,1221.4099539578483,7F,2354,0,AT4,0
34,27,748.5449725288137,7F,2354,0,AT4,0
34,2295,852.8862678785797,7F,2354,0,AT4,0
34,2308,120.68092010368306,7F,2354,1,DHT,0
34,60,2098.0956097495405,7F,2354,0,73M,0
34,79,1176.0335643441924,7F,2354,0,73M,0
34,84,392.0423134337404,7F,2354,0,AT4,0
34,91,793.6142624552447,7F,2354,0,AT4,0
34,95,629.6326747593168,7F,2354,0,73M,0
34,106,297.4265459415497,7F,2354,0,AT4,0
34,79,1176.0335643441924,MO,502,1,73M,0
35,48,260.89414916567137,AC,330,0,BEH,0
35,60,712.9375318674716,AC,330,1,DH1,0
35,89,561.4685232709452,AC,330,1,DH1 DH4,0
35,125,1060.9057493854616,AC,330,1,DH4,0
36,2319,87.45562936776788,JV,1434,0,SWM,0
36,2319,87.45562936776788,MO,502,0,AT4,0
36,85,272.38579492202757,MO,502,0,FRJ,0
36,98,610.1235703896152,MO,502,0,AT4 FRJ,0
37,126,361.9830671054755,7F,2354,0,AT4 AT7,0
37,126,361.9830671054755,8T,68,0,DHT,0
38,125,250.44811046003966,AC,330,1,BEH,0
39,2296,184.30535232943512,3H,"\N",0,DHT,0
39,2865,715.1317529873069,3H,"\N",0,73M,0
39,89,950.6926278681764,3H,"\N",0,73M,0
40,41,250.59110390410515,AC,330,1,DH3 DH1,0
40,65,561.6863555714049,AC,330,1,DH1 DH3,0
41,40,250.59110390410515,AC,330,1,DH1 DH3,0
41,65,730.8515252276992,P6,"\N",0,PL2 J32,0
41,2901,284.5916781442498,P6,"\N",0,J32 PL2,0
42,68,116.30122605585493,JV,1434,0,SWM,0
42,73,297.28583523615214,JV,1434,0,SWM,0
42,2321,156.18593500568707,JV,1434,0,SWM,0
42,105,67.7258804692122,JV,1434,0,SWM,0
43,33,665.7554985153986,6L,"\N",0,DHT,0
43,83,297.25720950931907,6L,"\N",0,DHT,0
43,26,343.93746608459713,7F,2354,0,AT7,0
44,118,135.67165909763767,5T,1623,0,DH8,0
44,126,1089.8177357178338,5T,1623,0,DH8,0
44,22,375.71619221677435,7F,2354,0,AT7,0
44,118,135.67165909763767,7F,2354,0,AT7,0
45,31,2702.9330963259786,WS,5416,0,73W,0
45,48,1325.0182442259159,WS,5416,0,73W,0
45,70,1248.6456593414434,WS,5416,0,73W,0
45,113,2697.334447625971,WS,5416,0,73H 73W,0
46,18,362.883679082657,P6,"\N",0,J32,0
46,65,210.65062184467172,P6,"\N",0,J32 PL2,0
46,94,435.90894373077566,P6,"\N",0,J32,0
46,130,746.8193109907505,P6,"\N",0,J32,0
47,126,193.96131964331585,7F,2354,0,AT4 AT7,0
47,31,847.9605443169586,J3,3734,0,J31,0
47,82,228.63942175300525,J3,3734,0,J31,0
48,1731,1303.4497490065005,AA,24,1,CRJ,0
48,1854,1111.866992095282,AA,24,1,E70 CRJ E75,0
48,1699,665.0132839208505,AC,330,1,CRJ,0
48,255,4585.974036959589,AC,330,0,763,0
48,1885,1989.1494333203093,AC,330,1,ERJ,0
48,29,668.1039104167023,AC,330,1,DH1 CRJ,0
48,35,260.89414916567137,AC,330,0,BEH,0
48,60,955.1033986084661,AC,330,0,E90,0
48,70,164.56085352433954,AC,330,0,BEH,0
48,75,814.6991251604393,AC,330,1,CRJ CRA,0
48,76,304.9740448686113,AC,330,1,DH1,0
48,81,193.160040968104,AC,330,0,BEH,0
48,89,804.4330722628645,AC,330,0,320 E90 319 E75,0
48,117,159.62079321761024,AC,330,0,BEH,0
