# source, target, width, color
241,27,8.515896797180176,"#919191
"
241,35,11.506319046020508,"#a5a5a5
"
241,240,6.538569927215576,"#7d7d7d
"
241,47,10.585922241210938,"#9f9f9f
"
242,221,2.994476556777954,"#474747
"
243,283,5.385146617889404,"#6f6f6f
"
244,692,5.76547384262085,"#747474
"
244,737,3.518880844116211,"#505050
"
244,151,6.142407417297363,"#787878
"
246,303,4.742799758911133,"#666666
"
247,574,5.359131336212158,"#6f6f6f
"
247,351,5.7555766105651855,"#747474
"
248,435,5.808172225952148,"#747474
"
249,271,6.750648498535156,"#7f7f7f
"
250,337,6.914655685424805,"#818181
"
250,338,5.702132701873779,"#737373
"
250,339,5.167129993438721,"#6d6d6d
"
252,253,5.361676216125488,"#6f6f6f
"
253,595,5.324633598327637,"#6f6f6f
"
253,626,4.742799758911133,"#666666
"
253,625,6.275027275085449,"#7a7a7a
"
256,540,7.81358528137207,"#8c8c8c
"
256,539,7.004859447479248,"#828282
"
256,322,6.1760573387146,"#797979
"
257,120,2.8925743103027344,"#434343
"
258,130,2.982994556427002,"#464646
"
259,653,5.924391269683838,"#767676
"
260,352,4.234740734100342,"#5d5d5d
"
262,146,6.557798385620117,"#7d7d7d
"
265,136,4.509931564331055,"#626262
"
267,121,7.6710686683654785,"#8a8a8a
"
268,287,8.537232398986816,"#919191
"
268,178,5.617584228515625,"#727272
"
268,482,5.502779483795166,"#717171
"
268,49,5.9936699867248535,"#767676
"
268,579,7.037378311157227,"#838383
"
268,54,7.099022388458252,"#838383
"
269,630,7.117119789123535,"#838383
"
269,344,6.116109848022461,"#787878
"
269,163,5.801950931549072,"#747474
"
269,487,6.256929874420166,"#7a7a7a
"
269,51,6.122330665588379,"#787878
"
269,155,5.561595439910889,"#717171
"
269,661,5.520593643188477,"#717171
"
269,658,5.66395902633667,"#737373
"
269,111,5.583652019500732,"#727272
"
269,346,5.434065818786621,"#707070
"
269,202,5.434065818786621,"#707070
"
269,353,7.603486061096191,"#898989
"
270,487,7.093367099761963,"#838383
"
271,270,7.093367099761963,"#838383
"
271,163,6.140710830688477,"#787878
"
271,630,6.316311836242676,"#7a7a7a
"
271,346,5.9136457443237305,"#767676
"
271,663,7.260201930999756,"#858585
"
272,720,5.549153804779053,"#717171
"
272,707,5.37270450592041,"#6f6f6f
"
272,215,7.170280933380127,"#848484
"
272,484,6.528955936431885,"#7d7d7d
"
272,162,6.432530879974365,"#7c7c7c
"
272,668,4.216939449310303,"#5d5d5d
"
272,538,7.412615776062012,"#878787
"
272,716,7.829420566558838,"#8c8c8c
"
273,330,5.992538928985596,"#767676
"
273,630,6.043154716491699,"#777777
"
273,574,7.181308746337891,"#848484
"
273,429,6.110737323760986,"#787878
"
273,661,6.204334735870361,"#797979
"
273,579,6.452890396118164,"#7c7c7c
"
273,718,6.644326210021973,"#7e7e7e
"
273,158,5.956626892089844,"#767676
"
273,287,5.614473819732666,"#727272
"
273,22,6.975451469421387,"#828282
"
273,433,8.978824615478516,"#949494
"
273,69,7.440044403076172,"#878787
"
275,624,5.771129131317139,"#747474
"
275,609,4.533727169036865,"#636363
"
276,702,6.950567722320557,"#828282
"
276,436,6.291428089141846,"#7a7a7a
"
276,52,6.122330665588379,"#787878
"
277,21,15.166935920715332,"#bbbbbb
"
277,102,4.1537275314331055,"#5c5c5c
"
277,483,6.281530857086182,"#7a7a7a
"
278,510,4.8759446144104,"#696969
"
279,452,7.630066871643066,"#898989
"
279,579,5.623239994049072,"#727272
"
279,575,6.3315815925598145,"#7a7a7a
"
279,658,6.3315815925598145,"#7a7a7a
"
280,656,6.361555099487305,"#7b7b7b
"
280,128,7.908879280090332,"#8d8d8d
"
281,574,5.808172225952148,"#747474
"
281,420,5.701849937438965,"#737373
"
281,287,6.574481964111328,"#7d7d7d
"
282,705,5.374683856964111,"#6f6f6f
"
282,285,5.586479663848877,"#727272
"
283,270,6.307828903198242,"#7a7a7a
"
283,118,5.385146617889404,"#6f6f6f
"
283,271,7.878905296325684,"#8c8c8c
"
284,50,5.660565376281738,"#737373
"
284,482,5.682338714599609,"#737373
"
284,205,5.9136457443237305,"#767676
"
284,579,6.3315815925598145,"#7a7a7a
"
284,201,5.369594097137451,"#6f6f6f
"
284,158,7.476804733276367,"#888888
"
285,578,6.317442893981934,"#7a7a7a
"
286,592,3.9045114517211914,"#575757
"
287,420,6.469573974609375,"#7c7c7c
"
287,574,10.454436302185059,"#9e9e9e
"
289,404,4.740619659423828,"#666666
"
291,321,5.304556846618652,"#6f6f6f
"
292,293,6.760262489318848,"#7f7f7f
"
293,446,2.3617026805877686,"#2e2e2e
"
293,685,3.707609176635742,"#545454
"
294,295,3.0803916454315186,"#484848
"
295,499,4.552254676818848,"#636363
"
296,614,3.772456169128418,"#555555
"
296,553,4.2587175369262695,"#5e5e5e
"
297,104,5.056849002838135,"#6c6c6c
"
297,56,4.403306484222412,"#606060
"
300,263,3.402991771697998,"#4e4e4e
"
301,300,2.8575375080108643,"#414141
"
302,232,5.037620544433594,"#6b6b6b
"
302,573,5.002557277679443,"#6b6b6b
"
304,582,4.494128704071045,"#626262
"
305,136,6.312070369720459,"#7a7a7a
"
305,198,6.088681221008301,"#787878
"
305,266,4.509931564331055,"#626262
"
305,146,7.983247756958008,"#8e8e8e
"
305,353,5.808172225952148,"#747474
"
305,352,5.808172225952148,"#747474
"
305,722,5.687146186828613,"#737373
"
305,425,6.619442462921143,"#7e7e7e
"
308,122,6.80776834487915,"#808080
"
308,570,6.124310493469238,"#787878
"
308,719,5.45697021484375,"#707070
"
309,350,6.056162357330322,"#777777
"
309,650,5.45697021484375,"#707070
"
309,82,4.990744113922119,"#6b6b6b
"
309,85,3.8511080741882324,"#565656
"
310,425,5.493730545043945,"#717171
"
310,658,6.402839660644531,"#7b7b7b
"
312,422,5.480157375335693,"#717171
"
312,664,5.467715740203857,"#707070
"
312,574,5.359131336212158,"#6f6f6f
"
313,452,5.4665846824646,"#707070
"
313,422,5.571209907531738,"#727272
"
314,215,5.784136772155762,"#747474
"
314,681,7.792377471923828,"#8b8b8b
"
314,282,5.527663230895996,"#717171
"
316,709,6.122330665588379,"#787878
"
317,153,5.852849960327148,"#757575
"
319,282,5.109727382659912,"#6c6c6c
"
319,318,4.30594539642334,"#5e5e5e
"
320,350,5.709485054016113,"#737373
"
320,719,6.634994983673096,"#7e7e7e
"
320,575,7.194316387176514,"#848484
"
320,131,6.357879161834717,"#7b7b7b
"
322,149,6.080197811126709,"#777777
"
324,601,4.473966121673584,"#626262
"
324,512,8.127891540527344,"#8f8f8f
"
326,348,5.456404685974121,"#707070
"
326,349,5.456404685974121,"#707070
"
326,136,6.36381721496582,"#7b7b7b
"
326,435,6.181429862976074,"#797979
"
327,658,5.700436115264893,"#737373
"
327,69,6.153435707092285,"#787878
"
328,203,6.140710830688477,"#787878
"
330,208,5.583652019500732,"#727272
"
330,630,8.854286193847656,"#939393
"
330,287,5.676966190338135,"#737373
"
330,661,5.60712194442749,"#727272
"
331,139,6.62764310836792,"#7e7e7e
"
331,537,5.546326160430908,"#717171
"
331,7,3.6689188480377197,"#535353
"
331,0,4.810915946960449,"#686868
"
331,651,6.842266082763672,"#808080
"
331,120,5.391367435455322,"#707070
"
331,5,4.600572109222412,"#646464
"
332,195,4.366250991821289,"#606060
"
332,452,6.118371963500977,"#787878
"
332,152,5.777632713317871,"#747474
"
333,705,6.349678993225098,"#7b7b7b
"
333,431,6.210838317871094,"#797979
"
333,718,6.57335090637207,"#7d7d7d
"
333,66,5.848325729370117,"#757575
"
333,16,5.512676239013672,"#717171
"
333,708,7.007970333099365,"#828282
"
333,329,5.472239971160889,"#707070
"
334,555,2.7296316623687744,"#3c3c3c
"
335,312,2.4588770866394043,"#323232
"
336,366,4.3159356117248535,"#5f5f5f
"
338,340,6.655920028686523,"#7e7e7e
"
339,549,3.716146469116211,"#545454
"
340,693,5.446507930755615,"#707070
"
340,500,5.9266533851623535,"#767676
"
341,345,3.7684600353240967,"#555555
"
343,334,2.692653179168701,"#3b3b3b
"
344,330,6.1257243156433105,"#787878
"
344,50,10.131429672241211,"#9c9c9c
"
344,579,6.947740077972412,"#828282
"
344,51,9.991013526916504,"#9b9b9b
"
344,54,6.947740077972412,"#828282
"
344,287,6.800133228302002,"#808080
"
344,661,6.552143096923828,"#7d7d7d
"
344,630,8.099610328674316,"#8e8e8e
"
345,282,5.132349014282227,"#6d6d6d
"
346,353,5.695911884307861,"#737373
"
346,200,6.200658321380615,"#797979
"
346,325,6.281530857086182,"#7a7a7a
"
346,163,9.861512184143066,"#9a9a9a
"
346,2,4.597302436828613,"#646464
"
346,54,11.734061241149902,"#a6a6a6
"
346,344,6.454869747161865,"#7c7c7c
"
346,574,6.256929874420166,"#7a7a7a
"
346,579,8.450899124145508,"#919191
"
346,287,6.744992733001709,"#7f7f7f
"
347,431,7.236166477203369,"#858585
"
347,579,7.884843349456787,"#8c8c8c
"
347,159,7.884843349456787,"#8c8c8c
"
347,574,8.377962112426758,"#909090
"
347,287,13.47178840637207,"#b1b1b1
"
347,247,6.531783580780029,"#7d7d7d
"
347,482,6.765352725982666,"#7f7f7f
"
347,580,6.5586466789245605,"#7d7d7d
"
347,273,6.174360752105713,"#797979
"
347,427,6.0830254554748535,"#787878
"
347,428,5.767170429229736,"#747474
"
347,158,5.586762428283691,"#727272
"
347,205,5.522290229797363,"#717171
"
347,719,5.519179821014404,"#717171
"
347,660,5.383732795715332,"#6f6f6f
"
347,281,5.361110687255859,"#6f6f6f
"
348,649,8.518378257751465,"#919191
"
348,435,15.538435935974121,"#bdbdbd
"
348,67,9.942388534545898,"#9b9b9b
"
348,432,6.593427658081055,"#7d7d7d
"
348,219,6.881571292877197,"#818181
"
348,352,8.338764190673828,"#909090
"
348,349,8.56402587890625,"#919191
"
348,182,5.974724292755127,"#767676
"
348,248,7.117119789123535,"#838383
"
349,699,6.750648498535156,"#7f7f7f
"
349,435,10.40184211730957,"#9e9e9e
"
349,111,5.950971603393555,"#767676
"
349,487,5.879430294036865,"#757575
"
350,351,8.138311386108398,"#8f8f8f
"
350,661,5.60712194442749,"#727272
"
350,420,5.4063544273376465,"#707070
"
350,247,5.382884502410889,"#6f6f6f
"
350,575,11.746465682983398,"#a6a6a6
"
350,574,5.808172225952148,"#747474
"
350,287,5.682055950164795,"#737373
"
350,452,7.6487298011779785,"#8a8a8a
"
350,650,7.1507697105407715,"#848484
"
352,349,6.393508434295654,"#7b7b7b
"
352,709,6.393508434295654,"#7b7b7b
"
352,435,8.338764190673828,"#909090
"
352,487,5.4510321617126465,"#707070
"
352,353,5.808172225952148,"#747474
"
353,51,8.56402587890625,"#919191
"
353,579,8.329337120056152,"#909090
"
353,50,7.0093841552734375,"#828282
"
353,344,7.502254009246826,"#888888
"
353,630,9.058708190917969,"#959595
"
353,210,6.52612829208374,"#7d7d7d
"
353,487,5.695911884307861,"#737373
"
353,287,5.725320339202881,"#737373
"
353,68,5.852849960327148,"#757575
"
353,657,6.088681221008301,"#787878
"
353,270,6.481450080871582,"#7c7c7c
"
353,54,6.593427658081055,"#7d7d7d
"
355,357,5.218876838684082,"#6e6e6e
"
355,354,4.331920146942139,"#5f5f5f
"
355,356,4.6541571617126465,"#656565
"
355,243,4.710285186767578,"#666666
"
356,504,2.937911033630371,"#454545
"
358,360,4.509931564331055,"#626262
"
358,243,5.687146186828613,"#737373
"
359,358,4.044195652008057,"#5a5a5a
"
359,361,3.95954966545105,"#585858
"
362,406,4.471241474151611,"#616161
"
363,112,2.851374387741089,"#414141
"
363,164,3.9535553455352783,"#585858
"
364,365,3.5412230491638184,"#515151
"
366,499,3.30672025680542,"#4c4c4c
"
367,366,2.926091432571411,"#444444
"
368,369,2.9812216758728027,"#464646
"
368,592,3.0660417079925537,"#484848
"
372,221,4.476327419281006,"#626262
"
373,370,5.848325729370117,"#757575
"
374,405,3.7141482830047607,"#545454
"
374,375,3.0466058254241943,"#484848
"
376,253,2.9441585540771484,"#454545
"
377,405,3.1761181354522705,"#4a4a4a
"
378,431,5.827117919921875,"#757575
"
378,177,5.817503452301025,"#747474
"
378,333,5.4597978591918945,"#707070
"
378,154,7.254263877868652,"#858585
"
378,329,6.119785785675049,"#787878
"
378,399,6.2826619148254395,"#7a7a7a
"
378,723,6.573633670806885,"#7d7d7d
"
378,379,6.925966739654541,"#818181
"
379,282,9.46308708190918,"#979797
"
380,685,3.984071731567383,"#595959
"
380,381,2.716799020767212,"#3c3c3c
"
385,194,4.888296604156494,"#696969
"
389,365,4.378239631652832,"#606060
"
389,158,4.366250991821289,"#606060
"
390,559,4.785122871398926,"#676767
"
391,353,4.564061641693115,"#636363
"
392,386,3.9444732666015625,"#585858
"
392,26,4.979482173919678,"#6b6b6b
"
393,352,2.567617893218994,"#363636
"
394,320,5.224532604217529,"#6e6e6e
"
397,429,5.493730545043945,"#717171
"
398,589,6.227804660797119,"#797979
"
398,755,3.984253168106079,"#595959
"
399,177,8.799210548400879,"#939393
"
399,238,6.382762908935547,"#7b7b7b
"
399,379,5.495992660522461,"#717171
"
399,28,5.478178024291992,"#717171
"
399,235,5.956344127655029,"#767676
"
399,237,6.356748104095459,"#7b7b7b
"
400,695,5.9136457443237305,"#767676
"
400,287,6.627077579498291,"#7e7e7e
"
400,54,5.570361614227295,"#727272
"
400,70,5.715705871582031,"#737373
"
400,482,6.726330280303955,"#7f7f7f
"
401,404,6.191609859466553,"#797979
"
401,730,5.259030342102051,"#6e6e6e
"
401,35,6.7073845863342285,"#7f7f7f
"
401,27,6.205748558044434,"#797979
"
402,124,4.636719226837158,"#646464
"
403,81,3.031529426574707,"#484848
"
403,111,5.813544750213623,"#747474
"
403,479,6.110171794891357,"#787878
"
403,23,6.2671098709106445,"#7a7a7a
"
403,349,6.670341491699219,"#7e7e7e
"
403,269,5.583652019500732,"#727272
"
403,487,5.813544750213623,"#747474
"
404,29,7.72536039352417,"#8b8b8b
"
404,30,5.943619728088379,"#767676
"
404,27,6.311222076416016,"#7a7a7a
"
404,35,6.675996780395508,"#7e7e7e
"
405,574,6.420088768005371,"#7b7b7b
"
405,421,4.785122871398926,"#676767
"
405,419,7.459838390350342,"#878787
"
405,187,5.689973831176758,"#737373
"
406,405,6.647154331207275,"#7e7e7e
"
406,431,6.439882755279541,"#7c7c7c
"
406,273,6.381349086761475,"#7b7b7b
"
406,574,5.45188045501709,"#707070
"
406,428,7.706414699554443,"#8a8a8a
"
407,633,5.681207656860352,"#737373
"
407,13,6.9604644775390625,"#828282
"
407,150,6.641781330108643,"#7e7e7e
"
407,480,5.482419490814209,"#717171
"
407,484,5.427279472351074,"#707070
"
407,534,5.910818099975586,"#767676
"
407,162,5.681207656860352,"#737373
"
407,278,5.991973400115967,"#767676
"
407,665,5.9167561531066895,"#767676
"
407,651,6.331864356994629,"#7a7a7a
"
407,714,6.152587413787842,"#787878
"
407,654,6.400294780731201,"#7b7b7b
"
407,652,6.564867973327637,"#7d7d7d
"
407,653,6.641781330108643,"#7e7e7e
"
407,10,7.868443012237549,"#8c8c8c
"
407,145,7.543538570404053,"#888888
"
407,712,7.947335720062256,"#8d8d8d
"
407,481,8.01278018951416,"#8e8e8e
"
407,590,4.971852779388428,"#6a6a6a
"
408,287,6.219886779785156,"#797979
"
408,347,6.645457744598389,"#7e7e7e
"
408,153,5.353193283081055,"#6f6f6f
"
408,205,6.219886779785156,"#797979
"
408,482,7.8093438148498535,"#8c8c8c
"
408,751,7.300355434417725,"#868686
"
408,750,5.054586887359619,"#6c6c6c
"
409,24,2.4919722080230713,"#333333
"
410,123,2.9086997509002686,"#434343
"
411,24,4.483230113983154,"#626262
"
412,535,4.200046539306641,"#5d5d5d
"
413,105,4.944606304168701,"#6a6a6a
"
414,702,3.6534790992736816,"#535353
"
417,418,5.284480094909668,"#6e6e6e
"
417,702,5.617584228515625,"#727272
"
418,644,6.393508434295654,"#7b7b7b
"
418,643,2.763739824295044,"#3e3e3e
"
419,186,5.661413669586182,"#737373
"
422,287,6.965554714202881,"#828282
"
422,662,6.8996686935424805,"#818181
"
422,482,5.859353542327881,"#757575
"
422,580,5.780460357666016,"#747474
"
422,159,5.675835132598877,"#737373
"
422,351,7.650426387786865,"#8a8a8a
"
423,78,5.749638557434082,"#747474
"
423,198,5.725320339202881,"#737373
"
424,346,7.261050224304199,"#858585
"
424,202,7.33966064453125,"#868686
"
424,270,5.493730545043945,"#717171
"
424,163,7.397346019744873,"#878787
"
424,353,6.122330665588379,"#787878
"
424,203,5.900355339050293,"#757575
"
424,579,7.043881893157959,"#838383
"
424,630,6.870826244354248,"#818181
"
424,68,7.33966064453125,"#868686
"
424,344,6.424047470092773,"#7b7b7b
"
424,328,6.161635875701904,"#787878
"
424,269,6.646023273468018,"#7e7e7e
"
424,54,6.593427658081055,"#7d7d7d
"
425,198,6.761959075927734,"#7f7f7f
"
425,352,10.484703063964844,"#9e9e9e
"
425,479,9.394119262695312,"#979797
"
425,316,5.493730545043945,"#717171
"
425,353,5.583652019500732,"#727272
"
425,658,7.115423202514648,"#838383
"
425,199,6.985348224639893,"#828282
"
426,382,9.24278736114502,"#969696
"
426,722,5.687146186828613,"#737373
"
426,432,5.687146186828613,"#737373
"
426,141,5.99791145324707,"#777777
"
426,74,7.182722568511963,"#848484
"
427,287,6.965554714202881,"#828282
"
427,422,6.965554714202881,"#828282
"
427,159,6.472118854522705,"#7c7c7c
"
427,50,6.284075736999512,"#7a7a7a
"
427,694,5.973310470581055,"#767676
"
427,290,5.56498908996582,"#727272
"
428,159,7.422795295715332,"#878787
"
428,405,12.495186805725098,"#ababab
"
428,287,7.083752632141113,"#838383
"
428,574,7.338246822357178,"#868686
"
428,579,7.422795295715332,"#878787
"
429,211,3.9045114517211914,"#575757
"
429,353,8.977831840515137,"#949494
"
429,657,8.288651466369629,"#909090
"
429,630,7.425340175628662,"#878787
"
429,433,6.843114376068115,"#808080
"
429,579,6.524148464202881,"#7d7d7d
"
430,508,4.173526763916016,"#5c5c5c
"
431,574,6.80776834487915,"#808080
"
431,69,6.956788539886475,"#828282
"
431,420,7.236166477203369,"#858585
"
431,154,7.422512531280518,"#878787
"
431,282,7.746285438537598,"#8b8b8b
"
431,66,9.53900146484375,"#989898
"
431,22,5.843801498413086,"#757575
"
431,662,5.7108988761901855,"#737373
"
431,281,5.950971603393555,"#767676
"
431,718,5.890175819396973,"#757575
"
431,351,5.950971603393555,"#767676
"
431,287,5.950971603393555,"#767676
"
431,70,6.441862106323242,"#7c7c7c
"
431,705,6.349678993225098,"#7b7b7b
"
431,346,5.522290229797363,"#717171
"
431,205,9.438279151916504,"#979797
"
432,435,7.378965854644775,"#878787
"
432,352,6.481450080871582,"#7c7c7c
"
432,141,7.260201930999756,"#858585
"
432,189,6.750648498535156,"#7f7f7f
"
432,395,5.324633598327637,"#6f6f6f
"
433,287,5.780460357666016,"#747474
"
433,657,7.598396301269531,"#898989
"
433,353,7.397346019744873,"#878787
"
433,630,7.286499977111816,"#858585
"
433,69,7.333439826965332,"#868686
"
433,50,7.0093841552734375,"#828282
"
433,579,7.043881893157959,"#838383
"
433,661,5.812979221343994,"#747474
"
433,574,6.705687999725342,"#7f7f7f
"
434,703,5.375532150268555,"#6f6f6f
"
434,311,5.485813140869141,"#717171
"
434,662,5.49910306930542,"#717171
"
434,717,7.345315933227539,"#868686
"
434,708,5.946164608001709,"#767676
"
434,153,5.673855781555176,"#737373
"
436,52,6.895709991455078,"#818181
"
436,533,6.533197402954102,"#7d7d7d
"
436,577,6.955940246582031,"#828282
"
436,24,8.198348045349121,"#8f8f8f
"
436,48,14.427403450012207,"#b7b7b7
"
436,430,6.170684814453125,"#797979
"
436,483,6.170684814453125,"#797979
"
436,702,6.955940246582031,"#828282
"
436,711,7.1371965408325195,"#848484
"
437,648,2.982572555541992,"#464646
"
439,453,9.330609321594238,"#969696
"
440,441,3.8113279342651367,"#565656
"
440,447,4.277063846588135,"#5e5e5e
"
441,605,4.131566524505615,"#5b5b5b
"
442,388,4.159903049468994,"#5c5c5c
"
443,444,3.9045114517211914,"#575757
"
444,113,3.30672025680542,"#4c4c4c
"
445,446,1.5434455871582031,"#121212
"
446,55,2.3174633979797363,"#2d2d2d
"
446,342,4.903191566467285,"#696969
"
448,447,3.713240146636963,"#545454
"
449,315,5.522290229797363,"#717171
"
450,484,6.489650726318359,"#7c7c7c
"
450,272,5.749073028564453,"#747474
"
450,215,5.846346378326416,"#757575
"
451,662,5.845780849456787,"#757575
"
451,452,6.737358093261719,"#7f7f7f
"
451,613,3.6371312141418457,"#525252
"
452,333,5.49910306930542,"#717171
"
452,22,5.525118350982666,"#717171
"
452,716,6.607283592224121,"#7e7e7e
"
452,422,6.830672740936279,"#808080
"
452,718,7.717442989349365,"#8a8a8a
"
452,575,8.925734519958496,"#949494
"
452,70,5.702132701873779,"#737373
"
452,431,5.70863676071167,"#737373
"
452,658,5.992538928985596,"#767676
"
452,579,5.992538928985596,"#767676
"
452,66,8.297085762023926,"#909090
"
452,351,9.144049644470215,"#959595
"
452,69,5.4665846824646,"#707070
"
452,16,7.838186264038086,"#8c8c8c
"
452,662,9.898229598999023,"#9a9a9a
"
454,264,2.9200971126556396,"#444444
"
454,146,5.843801498413086,"#757575
"
454,267,7.348709583282471,"#868686
"
455,458,4.044195652008057,"#5a5a5a
"
456,250,4.5204668045043945,"#626262
"
457,250,5.093043804168701,"#6c6c6c
"
457,460,4.337006568908691,"#5f5f5f
"
461,562,4.773860931396484,"#676767
"
461,563,2.9932947158813477,"#474747
"
462,461,3.7690048217773438,"#555555
"
463,523,2.8946847915649414,"#434343
"
466,537,3.5671980381011963,"#515151
"
467,620,4.029119491577148,"#5a5a5a
"
468,224,3.3296074867248535,"#4d4d4d
"
468,467,3.4451332092285156,"#4f4f4f
"
469,619,4.509931564331055,"#626262
"
470,469,4.044195652008057,"#5a5a5a
"
470,557,2.589315414428711,"#373737
"
471,221,3.948106050491333,"#585858
"
471,617,4.638898849487305,"#646464
"
472,435,3.9045114517211914,"#575757
"
473,552,5.53869104385376,"#717171
"
474,607,4.333373546600342,"#5f5f5f
"
476,710,7.348709583282471,"#868686
"
476,691,4.742799758911133,"#666666
"
477,127,7.910293102264404,"#8d8d8d
"
478,475,7.117119789123535,"#838383
"
479,352,6.058424472808838,"#777777
"
479,270,6.110171794891357,"#787878
"
479,432,6.04965877532959,"#777777
"
479,658,5.897810459136963,"#757575
"
479,349,6.895709991455078,"#818181
"
479,579,5.380621910095215,"#6f6f6f
"
479,283,5.436893463134766,"#707070
"
481,654,5.415402889251709,"#707070
"
481,712,5.575451374053955,"#727272
"
481,57,3.601710557937622,"#525252
"
481,480,7.66343355178833,"#8a8a8a
"
481,10,6.192458152770996,"#797979
"
482,574,5.788661003112793,"#747474
"
482,287,12.328969955444336,"#aaaaaa
"
482,159,6.851597785949707,"#808080
"
483,430,7.593306541442871,"#898989
"
484,716,6.713039875030518,"#7f7f7f
"
484,162,7.419402122497559,"#878787
"
484,70,6.387853145599365,"#7b7b7b
"
484,452,6.2063140869140625,"#797979
"
484,16,5.556222915649414,"#717171
"
484,707,5.556222915649414,"#717171
"
484,714,5.359979629516602,"#6f6f6f
"
484,653,8.889513969421387,"#949494
"
485,14,5.524835586547852,"#717171
"
485,714,5.621260166168213,"#727272
"
485,162,5.6469926834106445,"#727272
"
485,665,5.498537540435791,"#717171
"
485,712,6.423764705657959,"#7b7b7b
"
485,720,6.129400253295898,"#787878
"
485,653,6.080480575561523,"#787878
"
485,144,6.029299259185791,"#777777
"
485,214,5.709767818450928,"#737373
"
485,715,9.667013168334961,"#999999
"
485,746,6.888075351715088,"#818181
"
485,60,4.699204921722412,"#666666
"
485,484,7.6159281730651855,"#898989
"
485,407,5.922976970672607,"#767676
"
485,486,5.753597259521484,"#747474
"
485,654,7.113443851470947,"#838383
"
485,66,6.593427658081055,"#7d7d7d
"
485,716,6.004415512084961,"#777777
"
485,272,6.004415512084961,"#777777
"
486,145,5.79035758972168,"#747474
"
486,653,6.224128723144531,"#797979
"
486,484,5.37524938583374,"#6f6f6f
"
486,399,5.4510321617126465,"#707070
"
486,745,6.535459518432617,"#7d7d7d
"
486,162,7.619604110717773,"#898989
"
486,716,6.270503044128418,"#7a7a7a
"
486,282,6.308111667633057,"#7a7a7a
"
486,215,8.377962112426758,"#909090
"
487,111,10.543746948242188,"#9e9e9e
"
487,709,7.593306541442871,"#898989
"
488,487,7.593306541442871,"#898989
"
488,709,14.021238327026367,"#b4b4b4
"
489,459,5.227643013000488,"#6e6e6e
"
489,451,4.931346416473389,"#6a6a6a
"
490,700,9.564802169799805,"#989898
"
491,715,4.7186408042907715,"#666666
"
492,664,4.753880023956299,"#676767
"
494,493,3.8142342567443848,"#565656
"
494,87,2.7471923828125,"#3d3d3d
"
494,86,10.605769157409668,"#9f9f9f
"
495,75,3.5619304180145264,"#515151
"
496,450,4.04038143157959,"#5a5a5a
"
497,543,4.810915946960449,"#686868
"
497,498,3.791710376739502,"#555555
"
499,514,4.626183986663818,"#646464
"
501,579,6.608980178833008,"#7e7e7e
"
503,11,2.718656301498413,"#3c3c3c
"
505,215,2.535029411315918,"#353535
"
506,215,6.322249889373779,"#7a7a7a
"
507,111,4.540992736816406,"#636363
"
511,151,3.540133237838745,"#515151
"
512,509,3.742121458053589,"#545454
"
513,183,2.8539071083068848,"#414141
"
516,741,4.6468915939331055,"#656565
"
516,124,4.791661739349365,"#676767
"
517,149,5.348386287689209,"#6f6f6f
"
518,519,3.7223222255706787,"#545454
"
519,379,5.191448211669922,"#6d6d6d
"
520,492,2.6781318187713623,"#3a3a3a
"
521,694,5.298901081085205,"#6e6e6e
"
522,288,4.9880194664001465,"#6b6b6b
"
522,324,5.160060405731201,"#6d6d6d
"
524,517,2.4213919639587402,"#313131
"
525,427,5.0687255859375,"#6c6c6c
"
526,525,5.808172225952148,"#747474
"
527,522,5.1298041343688965,"#6c6c6c
"
529,366,3.1187186241149902,"#494949
"
531,526,6.3315815925598145,"#7a7a7a
"
532,499,2.8802480697631836,"#424242
"
533,711,6.412171363830566,"#7b7b7b
"
533,702,8.317428588867188,"#909090
"
534,481,7.064806938171387,"#838383
"
534,278,6.343174934387207,"#7b7b7b
"
534,535,7.88767147064209,"#8c8c8c
"
535,197,5.803365230560303,"#747474
"
536,47,5.9031829833984375,"#757575
"
536,578,5.532187461853027,"#717171
"
537,278,5.871230125427246,"#757575
"
537,473,5.375532150268555,"#6f6f6f
"
538,716,5.5533952713012695,"#717171
"
539,254,6.499264717102051,"#7c7c7c
"
539,255,4.021671772003174,"#595959
"
539,120,6.1901960372924805,"#797979
"
540,490,5.855112075805664,"#757575
"
540,539,5.5596160888671875,"#717171
"
541,68,5.5757341384887695,"#727272
"
542,435,5.69393253326416,"#737373
"
543,295,4.331920146942139,"#5f5f5f
"
544,666,5.637943744659424,"#727272
"
544,449,6.570240497589111,"#7d7d7d
"
544,315,6.34147834777832,"#7b7b7b
"
545,707,5.353758811950684,"#6f6f6f
"
545,379,5.543498516082764,"#717171
"
545,733,4.772770881652832,"#676767
"
547,726,3.5081636905670166,"#505050
"
548,549,3.8009743690490723,"#555555
"
550,555,1.92362380027771,"#1e1e1e
"
551,746,5.153556823730469,"#6d6d6d
"
552,553,5.852849960327148,"#757575
"
554,10,4.667053699493408,"#656565
"
556,557,2.6799890995025635,"#3b3b3b
"
558,561,5.628612518310547,"#727272
"
560,151,4.984386444091797,"#6b6b6b
"
561,674,3.9955151081085205,"#595959
"
562,94,4.509931564331055,"#626262
"
563,447,3.5361368656158447,"#515151
"
564,430,4.173526763916016,"#5c5c5c
"
565,564,1.0,"#000000
"
566,560,9.003633499145508,"#949494
"
568,567,4.906461238861084,"#696969
"
568,12,5.281086444854736,"#6e6e6e
"
