# source, target, width, color
46,34,8.238537788391113,"#8f8f8f
"
46,238,9.671479225158691,"#999999
"
46,578,7.06056547164917,"#838383
"
46,232,7.120230197906494,"#848484
"
47,578,9.058212280273438,"#959595
"
48,483,12.047640800476074,"#a8a8a8
"
48,277,5.692518711090088,"#737373
"
48,52,8.664252281188965,"#929292
"
48,430,5.879430294036865,"#757575
"
48,53,10.168146133422852,"#9c9c9c
"
48,577,9.165881156921387,"#959595
"
49,574,7.073007583618164,"#838383
"
49,482,7.238711357116699,"#858585
"
49,452,5.953516483306885,"#767676
"
49,159,6.036651134490967,"#777777
"
49,579,7.3648271560668945,"#868686
"
49,287,9.967693328857422,"#9b9b9b
"
49,708,5.695911884307861,"#737373
"
49,580,5.950971603393555,"#767676
"
49,431,5.522290229797363,"#717171
"
49,284,5.522290229797363,"#717171
"
49,420,5.650951385498047,"#737373
"
49,158,5.607970237731934,"#727272
"
49,752,5.280238151550293,"#6e6e6e
"
49,408,5.41738224029541,"#707070
"
49,347,11.742992401123047,"#a6a6a6
"
50,287,7.990882873535156,"#8e8e8e
"
50,579,7.4807634353637695,"#888888
"
50,51,9.861512184143066,"#9a9a9a
"
50,400,7.576905727386475,"#898989
"
50,54,5.429258823394775,"#707070
"
50,482,5.94559907913208,"#767676
"
51,323,7.637418746948242,"#8a8a8a
"
52,101,5.390519142150879,"#707070
"
52,441,4.552254676818848,"#636363
"
52,577,12.874261856079102,"#aeaeae
"
52,430,6.550729274749756,"#7d7d7d
"
52,483,7.593306541442871,"#898989
"
52,53,10.719391822814941,"#a0a0a0
"
53,483,16.559337615966797,"#c3c3c3
"
53,430,7.407526016235352,"#878787
"
54,287,10.295661926269531,"#9d9d9d
"
54,574,7.154445648193359,"#848484
"
54,482,5.94559907913208,"#767676
"
54,420,5.818351745605469,"#747474
"
54,103,3.7530202865600586,"#555555
"
56,63,3.5681064128875732,"#515151
"
60,61,3.1644928455352783,"#4a4a4a
"
62,61,3.30145263671875,"#4c4c4c
"
64,258,2.890632390975952,"#434343
"
66,351,6.873371124267578,"#818181
"
66,282,6.252688407897949,"#797979
"
66,70,5.353193283081055,"#6f6f6f
"
66,662,5.572340965270996,"#727272
"
67,435,7.274340629577637,"#858585
"
67,627,4.240916728973389,"#5d5d5d
"
68,206,6.52612829208374,"#7d7d7d
"
68,579,7.0093841552734375,"#828282
"
68,54,7.182722568511963,"#848484
"
69,351,5.7852678298950195,"#747474
"
69,574,6.647154331207275,"#7e7e7e
"
69,287,5.434065818786621,"#707070
"
69,579,5.607970237731934,"#727272
"
71,492,2.468923807144165,"#323232
"
72,73,7.274340629577637,"#858585
"
72,135,7.064806938171387,"#838383
"
72,26,11.137167930603027,"#a2a2a2
"
72,727,5.986318111419678,"#767676
"
72,25,12.239659309387207,"#aaaaaa
"
74,274,4.5251898765563965,"#626262
"
74,136,7.182722568511963,"#848484
"
74,403,6.004415512084961,"#777777
"
74,425,6.004415512084961,"#777777
"
74,141,6.004415512084961,"#777777
"
74,349,6.004415512084961,"#777777
"
74,479,7.182722568511963,"#848484
"
75,361,3.9045114517211914,"#575757
"
77,656,4.586222171783447,"#646464
"
77,76,4.219482421875,"#5d5d5d
"
78,83,4.666690826416016,"#656565
"
79,198,3.2665770053863525,"#4c4c4c
"
82,291,3.726318359375,"#545454
"
84,709,4.509931564331055,"#626262
"
86,603,4.4487175941467285,"#616161
"
86,606,3.3383264541625977,"#4d4d4d
"
88,21,5.6308746337890625,"#727272
"
90,243,3.30672025680542,"#4c4c4c
"
91,299,3.2929153442382812,"#4c4c4c
"
91,92,6.979127407073975,"#828282
"
92,640,6.664968967437744,"#7e7e7e
"
92,298,3.4089860916137695,"#4e4e4e
"
93,452,4.8922929763793945,"#696969
"
95,98,5.056849002838135,"#6c6c6c
"
97,96,9.548924446105957,"#989898
"
97,543,2.8188703060150146,"#404040
"
99,100,7.501122951507568,"#888888
"
100,104,4.509568214416504,"#626262
"
101,515,3.569377899169922,"#515151
"
104,553,4.378239631652832,"#606060
"
104,169,3.670553684234619,"#535353
"
106,127,3.8781731128692627,"#575757
"
107,599,6.03240966796875,"#777777
"
108,598,3.497265100479126,"#505050
"
108,597,3.8113279342651367,"#565656
"
109,656,4.163717746734619,"#5c5c5c
"
109,110,2.7807939052581787,"#3e3e3e
"
111,323,6.109889030456543,"#787878
"
113,361,3.6716434955596924,"#535353
"
114,133,2.5530121326446533,"#363636
"
115,130,2.9038028717041016,"#434343
"
117,352,5.607970237731934,"#727272
"
118,719,5.417665004730225,"#707070
"
118,353,7.042468070983887,"#838383
"
119,51,5.768867015838623,"#747474
"
120,149,7.075835227966309,"#838383
"
121,764,3.5161561965942383,"#505050
"
123,436,5.385146617889404,"#6f6f6f
"
123,24,9.640220642089844,"#999999
"
125,327,4.521920204162598,"#626262
"
127,126,4.665782451629639,"#656565
"
128,656,7.261615753173828,"#858585
"
129,128,5.011040210723877,"#6b6b6b
"
134,438,4.077436923980713,"#5a5a5a
"
134,437,3.635314702987671,"#525252
"
134,435,5.583652019500732,"#727272
"
134,348,6.930208206176758,"#818181
"
134,432,6.930208206176758,"#818181
"
134,442,4.711738586425781,"#666666
"
135,73,6.600496768951416,"#7e7e7e
"
135,587,5.468564033508301,"#707070
"
135,116,4.418201446533203,"#616161
"
135,26,7.60857629776001,"#898989
"
136,463,8.425098419189453,"#919191
"
136,464,5.542084217071533,"#717171
"
136,479,6.940387725830078,"#818181
"
136,352,6.215362548828125,"#797979
"
136,425,6.888640880584717,"#818181
"
136,403,5.587045192718506,"#727272
"
136,349,5.587045192718506,"#727272
"
136,275,5.1428117752075195,"#6d6d6d
"
136,310,5.493730545043945,"#717171
"
136,713,3.6427621841430664,"#535353
"
136,465,2.778176784515381,"#3e3e3e
"
137,703,5.3871259689331055,"#6f6f6f
"
137,317,5.493730545043945,"#717171
"
137,66,5.556788444519043,"#717171
"
137,70,5.716836929321289,"#737373
"
137,452,7.933480262756348,"#8d8d8d
"
